"year","avg_home_team_score","avg_visitor_team_score","avg_fgm","avg_fga","avg_fg3m","avg_fg3a","avg_ftm","avg_fta","avg_reb","avg_ast","avg_stl","avg_blk","avg_turnover","avg_pf","avg_pts"
"1976","109.3079019073569482","103.7683923705722071","4.1846757689427608","8.91971031103759625886","0.00000000000000000000","0.00000000000000000000","2.04874629362041165402","2.7403165894003819","4.59616891670543626666","2.26459421204313175190","0.61692920362910896321","0.35771247966059117438","0.00000000000000000000","2.45292146370081980939","10.4180978315059332"
"1977","109.4745057232049948","104.7398543184183143","4.3130951248413765","9.10289827258997001727","0.00000000000000000000","0.00000000000000000000","2.11360555921510096253","2.81007951107644262531","4.69212640809802578074","2.40869696123554747117","0.64809461598575792248","0.36358978453832457789","0.37894141374796397020","2.48987645427036140564","10.7397958088978539"
"1978","112.0082135523613963","107.0420944558521561","4.5082944093457584","9.32352641629389123589","0.00000000000000000000","0.00000000000000000000","2.20614598804560973435","2.93930340578564055113","4.71108840553312388469","2.53844060168441761010","0.70419921140913198987","0.41819323700633432763","1.18583144254042653476","2.56968030454768045642","11.2227348067371266"
"1979","111.8682877406281662","107.2755825734549139","4.5137867535739170","9.26338256059830019686","0.02580438200821292468","0.08691507284873522746","2.13044260047951222050","2.8109809888188877","4.6203589902485138","2.59806218040735811930","0.71335975582672581676","0.43879821907384556202","1.25987223901969307485","2.47083235858620032402","11.1838204896355592"
"1980","110.4219712525667351","106.7320328542094456","4.4055629075511132","9.00487311979695696784","0.07304715827105952601","0.22452511505161153873","2.18894704738229462154","2.88585767530599448066","4.47390120108462061808","2.59494771073775450026","0.67368541846248737748","0.45554808794891226171","1.25787201051155673830","2.48404732362188408136","11.0731200207555806"
"1981","109.7742303306727480","105.7491448118586089","4.2834719313418625","8.70860078340140910502","0.05404279012628667967","0.18185435561326530997","2.15248373570452458481","2.8878142237289259","4.30077883045021557130","2.47057164999933470408","0.57617251515542451625","0.43712531118179465679","1.13985421312900084510","2.54019767745899259548","10.7734703885145362"
"1982","110.7858565737051793","107.3754980079681275","4.3009982546010513","8.75528435482889775129","0.05574048081566634358","0.18819206021648606941","2.07993334726315141393","2.7879383610078930","4.31295409046519291216","2.52623946096830873540","0.57158615580749497597","0.45924757911010973874","1.19263033904484255969","2.54255452060302117721","10.7376703372809204"
"1983","111.7623862487360971","107.1708796764408493","4.2272164864784536","8.6937934117375022","0.05617022980738551165","0.21851537799339271748","2.13457041249962195793","2.8583772555435151","4.28515000999133734800","2.5318679907119307","0.77798716225643479446","0.51907495133822839256","1.55294411974854202339","2.4975079301935982","10.6451736152639147"
"1984","111.8168604651162791","107.6841085271317829","4.2545876711661255","8.6434336186048325","0.06774938098396586816","0.26077710076324283063","2.16139440912705335431","2.8324714670445633","4.1843759092153877","2.5198430294945180","0.81512721745628632369","0.50672221890717251446","1.72592712297074444806","2.4725588078153459","10.7383191324432702"
"1985","113.0532544378698225","109.2149901380670611","4.2966796528774855","8.7828739885486856","0.09416006370201804382","0.32775985148838917378","2.25352530390358628632","2.9592297582977892","4.2721231356220368","2.5759976521300112","0.84726289157011148430","0.51801295319028055238","1.70515139372849839399","2.4655663844702979","10.9410446733605754"
"1986","112.1094069529652352","107.1022494887525562","4.2280363413256127","8.7181566988875305","0.10675334912891140476","0.36968570163855160390","2.25138837570968079131","2.9680687845315337","4.2942530662584545","2.5552835447487282","0.85614167115365680614","0.52721890381792671545","1.66926598246845049393","2.4346320099301183","10.8142144074898176"
"1987","112.5035677879714577","107.0540265035677880","4.2117389026361087","8.7419929670920344","0.14874204770460167629","0.48527337959575784472","2.27908736561241230367","2.9903239487911642","4.3239083002552306","2.5854860373083394","0.83864320949149065019","0.54454659775030538754","1.62682497413086644623","2.4336510542414044","10.8513072185892314"
"1988","111.0404135338345865","105.3627819548872180","4.1732349318331817","8.6981130067652483","0.16808863093191831311","0.52835663120508624109","2.20861188631361872898","2.8651031605397425","4.2882997728382518","2.5189828622996431","0.84540437957789986754","0.52161550420116221462","1.61861182521596407123","2.3628922627864317","10.7231703809119004"
"1989","110.4478144513826940","105.1275646743978591","4.1291371608850057","8.6890032064736513","0.22230062378783684460","0.69049705676843413351","2.15046114638802160944","2.80522310718640163418","4.3007207689248133","2.47910328969038153978","0.87098189521488695339","0.51114742259330144475","1.60775559065651602748","2.3077125042470740","10.6310360919458698"
"1990","110.0059071729957806","104.9367088607594937","4.1249434252761617","8.6397401817721562","0.22333762401930937485","0.67434991010533572929","2.17098563925676626405","2.8402926177327727","4.2778295754149874","2.4921795614579326","0.84271311193873475499","0.51387417232277691877","1.54041281646164835750","2.3200706280396163","10.6442101138283990"
"1991","107.5777027027027027","103.1258445945945946","4.0853630253512682","8.6703715327782013","0.24050326188920506795","0.74940725151459688431","2.10155557383797220992","2.7508886224335183","4.3255373768557954","2.4158803727731242","0.83965603563726208070","0.52973670579879145982","1.50955387496513278994","2.2896138106076565","10.5127848864297137"
"1992","107.5951134380453752","103.2661431064572426","4.0850153110501071","8.6222430971146693","0.26525493192528385729","0.79471859411080723556","2.05179282949417447894","2.7071574953874995","4.3105368605046445","2.4532793418667212","0.85009708684548652960","0.53731937614371954400","1.50788857409537104060","2.2619763784870733","10.4870783835196726"
"1993","105.4040234702430847","101.2782900251466890","3.9741401749687156","8.4522369191605861","0.31430863343412085079","0.93582680824615283934","2.01608259025519202992","2.69150523986795623118","4.2567331652284602","2.42252869894115936507","0.85087319321215375776","0.52141090992090710354","1.52044804704103455955","2.2582069918799072","10.2786715736267441"
"1994","103.3583473861720067","99.4283305227655987","3.8437179343796897","8.2705803094610548","0.39907394800571000124","1.16479081465048819410","1.97071734664968884269","2.67951272786771437664","4.2184509987417634","2.3787679836363715","0.86557368031818007594","0.51291710027245241208","1.53917124029346463585","2.2669928233379524","10.0572271634147783"
"1995","102.7286885245901639","99.1737704918032787","3.7350692053213698","8.0404831026824588","0.57085651226185993573","1.57164666414539806174","2.02689147807534242828","2.74609800981245326557","4.1221845448675836","2.2944736520380099","0.79645562808375688341","0.50450068676874515311","1.49975933082419155969","2.3500399436732433","10.0678864009799420"
"1996","98.7399527186761229","95.8360914105594957","3.4787926675234489","7.6033047438820123","0.57138543743656135202","1.57088420911148938644","1.76910962212735920636","2.40519802352149447440","3.9276613117537716","2.13565960236226643874","0.75987680360940447737","0.47889384596140465430","1.44726545321881147676","2.1436443283358650","9.2980803946108184"
"1997","98.2045995241871531","95.2712133227597145","3.0299409484659785","6.6784074257895886","0.46051228088348567718","1.29897345145045020010","1.61184389508724831538","2.18119663356216471353","3.4684605620093600","1.84883323121946349796","0.69525890442673098548","0.41702998154005490809","1.24882886356057461898","1.88125149483479474827","8.1322380729026911"
